.0,0
2158663,2016-04-29,28,BABY CARE,0.0,0
2158664,2016-04-29,28,BEAUTY,7.0,0
2158665,2016-04-29,28,BEVERAGES,2445.0,33
2158666,2016-04-29,28,BOOKS,0.0,0
2158667,2016-04-29,28,BREAD/BAKERY,389.0,2
2158668,2016-04-29,28,CELEBRATION,17.0,0
2158669,2016-04-29,28,CLEANING,942.0,4
2158670,2016-04-29,28,DAIRY,494.0,7
2158671,2016-04-29,28,DELI,426.105,64
2158672,2016-04-29,28,EGGS,254.0,0
2158673,2016-04-29,28,FROZEN FOODS,77.479,1
2158674,2016-04-29,28,GROCERY I,3508.91,42
2158675,2016-04-29,28,GROCERY II,2.0,0
2158676,2016-04-29,28,HARDWARE,0.0,0
2158677,2016-04-29,28,HOME AND KITCHEN I,31.0,0
2158678,2016-04-29,28,HOME AND KITCHEN II,24.0,0
2158679,2016-04-29,28,HOME APPLIANCES,1.0,0
2158680,2016-04-29,28,HOME CARE,220.0,2
2158681,2016-04-29,28,LADIESWEAR,0.0,0
2158682,2016-04-29,28,LAWN AND GARDEN,3.0,0
2158683,2016-04-29,28,LINGERIE,1.0,0
2158684,2016-04-29,28,"LIQUOR,WINE,BEER",223.0,1
2158685,2016-04-29,28,MAGAZINES,2.0,0
2158686,2016-04-29,28,MEATS,181.804,2
2158687,2016-04-29,28,PERSONAL CARE,349.0,3
2158688,2016-04-29,28,PET SUPPLIES,2.0,0
2158689,2016-04-29,28,PLAYERS AND ELECTRONICS,2.0,0
2158690,2016-04-29,28,POULTRY,197.363,19
2158691,2016-04-29,28,PREPARED FOODS,40.849,1
2158692,2016-04-29,28,PRODUCE,1078.059,1
2158693,2016-04-29,28,SCHOOL AND OFFICE SUPPLIES,73.0,6
2158694,2016-04-29,28,SEAFOOD,16.0,0
2158695,2016-04-29,29,AUTOMOTIVE,1.0,0
2158696,2016-04-29,29,BABY CARE,2.0,0
2158697,2016-04-29,29,BEAUTY,5.0,0
2158698,2016-04-29,29,BEVERAGES,2153.0,33
2158699,2016-04-29,29,BOOKS,0.0,0
2158700,2016-04-29,29,BREAD/BAKERY,386.0,2
2158701,2016-04-29,29,CELEBRATION,17.0,0
2158702,2016-04-29,29,CLEANING,692.0,4
2158703,2016-04-29,29,DAIRY,479.0,6
2158704,2016-04-29,29,DELI,231.401,63
2158705,2016-04-29,29,EGGS,82.0,0
2158706,2016-04-29,29,FROZEN FOODS,50.19,0
2158707,2016-04-29,29,GROCERY I,3978.368,42
2158708,2016-04-29,29,GROCERY II,4.0,0
2158709,2016-04-29,29,HARDWARE,1.0,0
2158710,2016-04-29,29,HOME AND KITCHEN I,23.0,0
2158711,2016-04-29,29,HOME AND KITCHEN II,13.0,0
2158712,2016-04-29,29,HOME APPLIANCES,0.0,0
2158713,2016-04-29,29,HOME CARE,295.0,2
2158714,2016-04-29,29,LADIESWEAR,0.0,0
2158715,2016-04-29,29,LAWN AND GARDEN,1.0,0
2158716,2016-04-29,29,LINGERIE,6.0,0
2158717,2016-04-29,29,"LIQUOR,WINE,BEER",88.0,1
2158718,2016-04-29,29,MAGAZINES,1.0,0
2158719,2016-04-29,29,MEATS,85.652,2
2158720,2016-04-29,29,PERSONAL CARE,299.0,2
2158721,2016-04-29,29,PET SUPPLIES,2.0,0
2158722,2016-04-29,29,PLAYERS AND ELECTRONICS,6.0,0
2158723,2016-04-29,29,POULTRY,216.323,11
2158724,2016-04-29,29,PREPARED FOODS,64.093,1
2158725,2016-04-29,29,PRODUCE,741.144,1
2158726,2016-04-29,29,SCHOOL AND OFFICE SUPPLIES,21.0,8
2158727,2016-04-29,29,SEAFOOD,3.0,0
2158728,2016-04-29,3,AUTOMOTIVE,6.0,0
2158729,2016-04-29,3,BABY CARE,0.0,0
2158730,2016-04-29,3,BEAUTY,9.0,0
2158731,2016-04-29,3,BEVERAGES,7386.0,27
2158732,2016-04-29,3,BOOKS,0.0,0
2158733,2016-04-29,3,BREAD/BAKERY,1171.196,2
2158734,2016-04-29,3,CELEBRATION,51.0,0
2158735,2016-04-29,3,CLEANING,1786.0,12
2158736,2016-04-29,3,DAIRY,2372.0,39
2158737,2016-04-29,3,DELI,453.816,66
2158738,2016-04-29,3,EGGS,509.0,31
2158739,2016-04-29,3,FROZEN FOODS,441.71,5
2158740,2016-04-29,3,GROCERY I,8582.0,69
2158741,2016-04-29,3,GROCERY II,74.0,0
2158742,2016-04-29,3,HARDWARE,2.0,0
2158743,2016-04-29,3,HOME AND KITCHEN I,40.0,0
2158744,2016-04-29,3,HOME AND KITCHEN II,51.0,1
2158745,2016-04-29,3,HOME APPLIANCES,3.0,0
2158746,2016-04-29,3,HOME CARE,463.0,4
2158747,2016-04-29,3,LADIESWEAR,27.0,0
2158748,2016-04-29,3,LAWN AND GARDEN,26.0,0
2158749,2016-04-29,3,LINGERIE,20.0,0
2158750,2016-04-29,3,"LIQUOR,WINE,BEER",342.0,1
2158751,2016-04-29,3,MAGAZINES,17.0,0
2158752,2016-04-29,3,MEATS,1384.419,52
2158753,2016-04-29,3,PERSONAL CARE,588.0,2
2158754,2016-04-29,3,PET SUPPLIES,19.0,0
2158755,2016-04-29,3,PLAYERS AND ELECTRONICS,22.0,0
2158756,2016-04-29,3,POULTRY,1588.259,43
2158757,2016-04-29,3,PREPARED FOODS,407.298,1
2158758,2016-04-29,3,PRODUCE,7198.929,0
